case_id,transaction_id,transaction_date,dispute_date,resolution_date,transaction_amount,currency,payment_method,is_recurring,is_card_present,is_cross_border,is_digital_goods,card_network,reason_code,reason_category,reason_description,merchant_id,merchant_name,merchant_category_code,merchant_category_name,merchant_monthly_volume,merchant_chargeback_rate,merchant_avg_ticket,merchant_years_active,customer_id,customer_tenure_months,customer_total_orders,customer_prior_disputes,customer_prior_win_rate,customer_account_verified,customer_email_domain,days_to_dispute,days_to_respond,response_within_deadline,deadline_days,day_of_week_transaction,month_of_year,is_holiday_period,has_delivery_tracking,has_delivery_confirmation,has_delivery_signature,has_avs_match,has_cvv_match,has_3ds_authentication,has_customer_communication,has_refund_policy_shown,has_terms_accepted,has_ip_geomatch,has_device_fingerprint,has_usage_proof,has_prior_non_disputed_txn,evidence_count,evidence_completeness,evidence_strength_score,amount_log,amount_vs_merchant_avg,customer_risk_score,is_repeat_disputer,dispute_velocity,reason_code_encoded,category_encoded,mcc_encoded,win_probability_true,case_disposition,representment_won,evidence_score
CB-2024-02689,TXN-527229582,2024-01-01,2024-02-01,2024-03-08,39.03,USD,debit,0,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0002,TechMart Online,5812,Eating Places / Restaurants,22216,4.5,248.63,8,CUST-01217,1,1,1,0.312,0,corporate.com,31,3,1,30,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,5,0.6,0.33,3.6896,0.157,0.906,0,1.0,0,0,1,0.5093,REPRESENTED,1,0.49
CB-2024-00961,TXN-153275040,2024-01-01,2024-01-09,2024-02-28,65.57,USD,credit,1,0,0,0,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0016,ByteDeals,5812,Eating Places / Restaurants,1759,7.446,142.23,11,CUST-02158,52,3,0,0.5,0,yahoo.com,8,2,1,45,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,7,0.5,0.46,4.1983,0.461,0.35,0,0.0,9,2,1,0.6811,REPRESENTED,1,0.47500000000000003
CB-2024-09197,TXN-749376941,2024-01-01,2024-01-02,2024-01-25,33.56,USD,debit,1,0,0,0,Mastercard,MC_4863,FRAUD,Cardholder Does Not Recognize,MER-0002,TechMart Online,5812,Eating Places / Restaurants,22216,4.5,248.63,8,CUST-02683,20,9,0,0.5,1,gmail.com,1,11,1,45,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,5,0.75,0.46,3.5427,0.135,0.15,0,0.0,14,0,1,0.562,REPRESENTED,1,0.8125
CB-2024-06246,TXN-596083002,2024-01-01,2024-01-07,2024-03-08,33.63,CAD,credit,0,0,0,0,Mastercard,MC_4855,CONSUMER_DISPUTE,Goods / Services Not Received,MER-0001,CloudSoft Solutions,5411,Grocery Stores,29970,5.907,410.61,1,CUST-00012,1,2,0,0.5,1,outlook.com,6,4,1,45,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,5,0.333,0.45,3.5447,0.082,0.15,0,0.0,13,1,0,0.9273,REPRESENTED,1,0.54995
CB-2024-05066,TXN-583230941,2024-01-01,2024-01-04,2024-02-29,24.79,USD,credit,0,0,0,0,Visa,Visa_12.2,PROCESSING_ERROR,Incorrect Transaction Code,MER-0016,ByteDeals,5812,Eating Places / Restaurants,1759,7.446,142.23,11,CUST-02715,1,3,1,0.465,0,gmail.com,3,9,1,30,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,8,1.0,0.74,3.25,0.174,0.86,0,1.0,5,3,1,0.9531,REPRESENTED,1,0.8
CB-2024-08525,TXN-990699624,2024-01-01,2024-01-13,2024-02-29,942.75,USD,credit,1,0,0,1,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0008,QuickCart,4722,Travel Agencies,9247,1.457,153.87,14,CUST-00825,6,4,2,0.717,0,corporate.com,12,2,1,30,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,8,0.25,0.55,6.8499,6.127,1.285,1,0.3333,7,1,7,0.8582,REPRESENTED,1,0.4375
CB-2024-02194,TXN-448526370,2024-01-01,2024-01-16,2024-03-01,297.9,USD,debit,0,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0013,UrbanCart,5961,Catalog / Mail-Order,13886,2.798,244.89,14,CUST-01342,22,9,4,0.661,0,yahoo.com,15,10,1,30,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,5,0.4,0.32,5.7001,1.216,1.393,1,0.1818,0,0,12,0.56,REPRESENTED,0,0.26
CB-2024-08294,TXN-681807194,2024-01-01,2024-01-24,2024-03-17,1261.57,CAD,credit,1,1,0,0,Visa,Visa_10.5,FRAUD,Fraud - Counterfeit Transaction,MER-0003,SwiftShop,5732,Electronics Stores,27813,1.574,177.32,6,CUST-00284,9,1,0,0.5,0,gmail.com,23,1,1,30,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,9,0.667,0.83,7.1409,7.115,0.35,0,0.0,1,0,2,0.7226,REPRESENTED,0,0.95005
CB-2024-02793,TXN-647907745,2024-01-01,2024-01-06,2024-02-12,1111.24,USD,credit,0,0,1,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0017,NetMarket,5732,Electronics Stores,8197,5.987,278.97,16,CUST-00829,9,3,0,0.5,1,gmail.com,5,1,1,30,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,6,0.6,0.54,7.0141,3.983,0.15,0,0.0,0,0,2,0.4701,REPRESENTED,0,0.7899999999999999
CB-2024-01265,TXN-330173694,2024-01-02,2024-01-13,2024-01-21,98.08,USD,credit,0,0,0,1,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-00452,59,4,0,0.5,1,outlook.com,11,1,1,45,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,7,0.5,0.5,4.5959,0.413,0.15,0,0.0,9,2,5,0.7683,REPRESENTED,1,0.47500000000000003
CB-2024-07719,TXN-744049175,2024-01-02,2024-01-25,2024-03-07,222.19,USD,prepaid,0,0,1,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0010,InnoRetail,5651,Clothing / Apparel,47361,1.391,330.38,5,CUST-00957,4,1,7,0.597,1,hotmail.com,23,9,1,30,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,5,0.4,0.43,5.408,0.673,3.621,1,1.75,0,0,9,0.445,REPRESENTED,1,0.56
CB-2024-05295,TXN-709802645,2024-01-02,2024-01-06,2024-03-05,161.98,USD,credit,1,0,0,1,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0012,NexCommerce,4816,Computer Network Services,18051,0.853,374.54,6,CUST-02912,12,1,0,0.5,1,gmail.com,4,4,1,30,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,7,0.6,0.44,5.0936,0.432,0.15,0,0.0,0,0,11,0.5635,REPRESENTED,1,0.49
CB-2024-03615,TXN-346571531,2024-01-02,2024-02-15,2024-04-18,506.42,USD,credit,0,0,0,1,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-00695,63,4,0,0.5,1,gmail.com,44,7,1,30,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,7,0.25,0.51,6.2293,2.134,0.15,0,0.0,7,1,5,0.8147,REPRESENTED,1,0.4375
CB-2024-08207,TXN-686182960,2024-01-02,2024-01-09,2024-01-31,13.23,USD,debit,0,0,0,0,Visa,Visa_13.3,CONSUMER_DISPUTE,Not as Described or Defective Merchandise,MER-0018,ZenShop,5912,Drug Stores / Pharmacies,16900,6.51,116.2,5,CUST-00620,5,9,0,0.5,1,hotmail.com,7,3,1,30,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,8,1.0,0.62,2.6554,0.114,0.15,0,0.0,8,1,3,0.7628,REPRESENTED,0,0.35
CB-2024-04439,TXN-267751274,2024-01-02,2024-01-11,2024-03-01,90.68,USD,credit,0,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0005,GadgetHub,5999,Misc. Retail,45241,1.492,392.24,14,CUST-02537,14,2,0,0.5,1,gmail.com,9,10,1,30,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,5,0.6,0.47,4.5183,0.231,0.15,0,0.0,0,0,4,0.5466,REPRESENTED,0,0.59
CB-2024-05708,TXN-924059085,2024-01-02,2024-02-10,2024-03-16,40.73,EUR,credit,0,0,0,0,Mastercard,MC_4837,FRAUD,No Cardholder Authorization,MER-0018,ZenShop,5912,Drug Stores / Pharmacies,16900,6.51,116.2,5,CUST-00721,81,1,1,0.537,1,gmail.com,39,1,1,45,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,7,0.75,0.56,3.7312,0.351,0.213,0,0.0123,11,0,3,0.8129,REPRESENTED,1,0.6625000000000001
